.	0	2	15	27	30	31	32	33	34	35	
.	0	131	49877	94916	110055	264384	325310	467574	515940	3390660	
.	1	2	15	27	30	31	32	33	34	35	
.	1	30	36606	77181	96598	235083	306788	434239	504808	3390660	
.	2	15	27	30	31	32	33	34	35	
.	2	36774	69252	91785	231319	309276	435621	515123	3390660	
.	3	15	27	30	31	32	33	34	35	
.	3	36014	64938	88675	230062	309643	435448	514425	3390660	
.	4	2	15	27	30	31	32	33	34	35	
.	4	4115	38437	66174	87693	225984	301273	425704	503653	3390660	
.	5	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	5	3932	6579	29814	85712	87774	107929	133797	250559	347892	502535	656354	938855	2178222	3390660	
.	6	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	6	3659	6210	26977	57561	59660	80378	103248	189715	242126	373158	476257	689478	2007227	3390660	
.	7	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	7	3357	5631	24541	46608	48687	68155	87942	160328	200256	312603	394371	585944	1724234	3390660	
.	8	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	8	3184	5368	23137	43140	45126	63848	81905	146672	181312	280094	352209	537756	1551345	3390660	
.	9	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	9	2865	4924	22375	41341	43231	61794	79220	142171	175126	269879	339705	527483	1490567	3390660	
.	10	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	10	2792	4749	21943	40222	42099	60378	77571	138280	169440	261478	328817	514703	1444324	3390660	
.	11	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	11	2680	4570	20997	39148	40950	58491	75006	134645	165025	255871	322512	510034	1424389	3390660	
.	12	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	12	2724	4551	21330	39408	41094	59090	75676	135831	166394	257573	324087	511733	1418231	3390660	
.	13	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	13	2760	4669	21850	39679	41398	59783	76754	136742	166388	257048	322380	507023	1404361	3390660	
.	14	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	14	2820	4687	22196	40689	42429	61016	78262	138577	168408	259659	324613	510866	1397924	3390660	
.	15	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	15	2760	4781	22417	40929	42683	61823	79120	139928	170099	262720	328821	516953	1405872	3390660	
.	16	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	16	2959	4960	23163	41653	43587	63253	80129	142123	172958	266454	333519	530921	1427129	3390660	
.	17	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
.	17	2845	4889	22597	41185	43104	62247	79444	141013	171867	264084	330588	521521	1418497	3390660	
.	18	14	15	16	27	28	30	31	34	35	36	37	38	39	40	
