TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
pirs-genome-pe300-cov8	6.92	1.70	47.63	37736	0	14267	187853	1938
dwgsim-genome-pe300-cov8	25.92	1.00	24.91	358560	0	397721	1	184
art_original-genome-pe300-cov8	69.03	3.59	65.42	75680	0	28777	7	1095
art_modern-genome-pe300-cov8	2.71	1.34	15.16	219444	0	88075	33722	365
art_modern_gcc-genome-pe300-cov8	4.59	0.94	25.76	196060	0	86219	56591	685
wgsim-genome-pe300-cov16	18.09	1.22	16.86	114840	0	109089	1	286
pirs-genome-pe300-cov16	13.94	3.49	95.00	38052	0	14255	393293	2466
dwgsim-genome-pe300-cov16	49.89	1.61	48.27	358660	0	397723	1	1197
art_original-genome-pe300-cov16	136.48	7.05	129.38	75956	0	28777	10	1970
art_modern-genome-pe300-cov16	5.81	2.46	32.25	220980	0	88533	84258	1088
art_modern_gcc-genome-pe300-cov16	9.09	1.89	52.63	195580	0	86269	113833	1237
wgsim-transcriptome-pe300-cov1	1.03	0.08	0.95	15392	0	12000	1	47
dwgsim-transcriptome-pe300-cov1	3.08	0.43	2.63	18408	0	251567	1	424
art_original-transcriptome-pe300-cov1	5.71	0.31	5.40	12128	0	1517	1	187
art_modern-transcriptome-pe300-cov1	0.46	0.19	1.15	248952	0	60599	4643	100
art_modern_gcc-transcriptome-pe300-cov1	0.61	0.12	1.85	225476	0	58710	7153	41
wgsim-transcriptome-pe300-cov2	1.63	0.10	1.52	15284	0	12004	1	125
dwgsim-transcriptome-pe300-cov2	4.77	0.44	4.31	18644	0	251566	1	737
art_original-transcriptome-pe300-cov2	9.93	0.46	9.47	12140	0	1518	2	43
art_modern-transcriptome-pe300-cov2	0.75	0.25	2.23	248712	0	60869	9830	213
art_modern_gcc-transcriptome-pe300-cov2	1.07	0.23	3.65	225572	0	58859	13328	181
wgsim-transcriptome-pe300-cov4	2.84	0.19	2.64	15456	0	12004	1	20
dwgsim-transcriptome-pe300-cov4	8.21	0.62	7.58	18344	0	251569	1	639
art_original-transcriptome-pe300-cov4	19.01	1.01	18.00	12192	0	1516	1	99
art_modern-transcriptome-pe300-cov4	1.27	0.33	4.43	249544	0	60753	19819	186
art_modern_gcc-transcriptome-pe300-cov4	2.04	0.36	7.05	225380	0	58793	27313	85
wgsim-transcriptome-pe300-cov8	5.27	0.37	4.89	15312	0	12003	1	274
dwgsim-transcriptome-pe300-cov8	14.93	0.73	14.19	18440	0	251566	1	524
art_original-transcriptome-pe300-cov8	37.22	1.88	35.33	12136	0	1516	4	961
art_modern-transcriptome-pe300-cov8	2.43	0.68	8.98	248424	0	60838	37763	306
art_modern_gcc-transcriptome-pe300-cov8	3.92	0.63	14.45	225464	0	59035	54138	580
wgsim-transcriptome-pe300-cov16	10.13	0.67	9.45	15524	0	12004	1	256
dwgsim-transcriptome-pe300-cov16	28.52	1.02	27.50	18352	0	251568	2	623
art_original-transcriptome-pe300-cov16	74.60	3.91	70.68	12140	0	1516	5	1832
art_modern-transcriptome-pe300-cov16	4.59	1.23	17.55	250180	0	61420	69458	607
art_modern_gcc-transcriptome-pe300-cov16	7.54	0.87	29.79	225236	0	59047	110270	565
wgsim-genome-pe100-cov1	2.17	0.23	1.93	115180	0	109086	1	112
pirs-genome-pe100-cov1	1.00	0.37	7.22	33220	0	12994	66494	196
dwgsim-genome-pe100-cov1	5.61	0.54	5.06	358484	0	397721	1	125
art_original-genome-pe100-cov1	10.93	1.20	9.72	75740	0	28713	1	324
art_modern-genome-pe100-cov1	0.55	0.32	2.02	217432	0	87883	4162	125
art_modern_gcc-genome-pe100-cov1	0.76	0.27	3.31	193316	0	85819	6524	99
wgsim-genome-pe100-cov2	3.52	0.30	3.21	115432	0	109087	1	12
pirs-genome-pe100-cov2	1.88	0.65	13.04	33092	0	12992	141296	465
dwgsim-genome-pe100-cov2	9.00	0.66	8.33	358792	0	397721	1	66
art_original-genome-pe100-cov2	20.43	2.34	18.08	75504	0	28714	1	367
art_modern-genome-pe100-cov2	0.89	0.45	4.12	217284	0	87811	9760	160
art_modern_gcc-genome-pe100-cov2	1.34	0.44	6.80	193536	0	85882	12109	164
wgsim-genome-pe100-cov4	6.31	0.45	5.85	115128	0	109086	1	75
pirs-genome-pe100-cov4	3.51	1.28	24.90	32720	0	12987	281044	697
dwgsim-genome-pe100-cov4	15.80	0.81	14.98	358808	0	397720	3	137
art_original-genome-pe100-cov4	39.45	4.59	34.85	75584	0	28715	3	929
art_modern-genome-pe100-cov4	1.63	0.72	8.39	217840	0	87962	22732	310
art_modern_gcc-genome-pe100-cov4	2.42	0.73	13.35	193208	0	85931	25046	198
wgsim-genome-pe100-cov8	11.84	0.74	11.09	115136	0	109085	1	268
pirs-genome-pe100-cov8	6.94	2.51	49.10	32692	0	13012	561746	1449
