TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
wgsim-transcriptome-pe300-cov8	5.35	0.37	4.98	15452	0	12003	1	41
dwgsim-transcriptome-pe300-cov8	14.88	0.72	14.16	18688	0	251567	1	172
art_original-transcriptome-pe300-cov8	37.06	1.95	35.10	12000	0	1518	3	212
art_modern-transcriptome-pe300-cov8	2.35	0.69	8.43	248496	0	60704	34969	220
art_modern_gcc-transcriptome-pe300-cov8	3.82	0.43	14.12	225236	0	58817	53360	207
wgsim-transcriptome-pe300-cov16	10.14	0.72	9.42	15472	0	12001	1	58
dwgsim-transcriptome-pe300-cov16	28.41	1.08	27.33	18664	0	251567	2	113
art_original-transcriptome-pe300-cov16	73.28	3.75	69.52	12016	0	1517	6	363
art_modern-transcriptome-pe300-cov16	4.54	1.21	16.97	250664	0	61481	75667	184
art_modern_gcc-transcriptome-pe300-cov16	7.32	0.95	27.97	225532	0	59138	104861	299
