TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
wgsim-transcriptome-pe300-size16384	0.85	0.07	0.77	13920	0	928	1	7
dwgsim-transcriptome-pe300-size16384	2.50	0.24	2.25	12160	0	99169	1	466
art_original-transcriptome-pe300-size16384	5.18	0.27	4.90	10472	0	942	1	46
art_modern-transcriptome-pe300-size16384	0.33	0.17	1.32	144232	0	34466	3056	69
art_modern_gcc-transcriptome-pe300-size16384	0.47	0.14	2.12	121792	0	32815	5415	25
wgsim-transcriptome-pe300-size65536	3.25	0.22	3.02	13920	0	928	1	31
dwgsim-transcriptome-pe300-size65536	9.94	0.97	8.95	12000	0	394081	1	2039
art_original-transcriptome-pe300-size65536	20.69	1.02	19.66	12768	0	1904	3	116
art_modern-transcriptome-pe300-size65536	1.03	0.46	5.21	251156	0	61717	14088	184
art_modern_gcc-transcriptome-pe300-size65536	1.67	0.39	8.40	227544	0	59854	21434	61
wgsim-transcriptome-pe300-size262144	13.00	0.89	12.10	13920	0	930	1	74
dwgsim-transcriptome-pe300-size262144	39.74	3.75	35.93	12320	0	1573728	2	8089
art_original-transcriptome-pe300-size262144	82.55	4.27	78.27	25056	0	6514	7	585
art_modern-transcriptome-pe300-size262144	3.94	1.54	20.63	688036	0	174754	65873	235
art_modern_gcc-transcriptome-pe300-size262144	6.43	1.37	33.74	664740	0	172759	83031	394
